case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
u_export_capabilities_schema-005000	export-capabilities-schema	count_eq	COUNT_OK	samples/산림청/2017/export-capabilities-schema-005000.hwp	산림청	2017	hwp	8	8		
u_export_capabilities_schema-005001	export-capabilities-schema	count_eq	COUNT_OK	samples/중소벤처기업부/2017/export-capabilities-schema-005001.hwpx	중소벤처기업부	2017	hwpx	9	9		
u_export_capabilities_schema-005002	export-capabilities-schema	count_eq	COUNT_OK	samples/과학기술정보통신부/2017/export-capabilities-schema-005002.hwp	과학기술정보통신부	2017	hwp	10	10		
u_export_capabilities_schema-005003	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/문화체육관광부/2017/export-capabilities-schema-005003.hwpx	문화체육관광부	2017	hwpx	11	12		
u_export_capabilities_schema-005004	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/환경부/2017/export-capabilities-schema-005004.hwp	환경부	2017	hwp	12	11		
u_export_capabilities_schema-005005	export-capabilities-schema	count_eq	COUNT_OK	samples/해양수산부/2017/export-capabilities-schema-005005.hwpx	해양수산부	2017	hwpx	13	13		
u_export_capabilities_schema-005006	export-capabilities-schema	count_eq	COUNT_OK	samples/서울특별시/2017/export-capabilities-schema-005006.hwp	서울특별시	2017	hwp	14	14		
u_export_capabilities_schema-005007	export-capabilities-schema	count_eq	COUNT_OK	samples/경기도/2017/export-capabilities-schema-005007.hwpx	경기도	2017	hwpx	15	15		
u_export_capabilities_schema-005008	export-capabilities-schema	count_eq	COUNT_OK	samples/부산광역시/2017/export-capabilities-schema-005008.hwp	부산광역시	2017	hwp	16	16		
u_export_capabilities_schema-005009	export-capabilities-schema	count_eq	COUNT_OK	samples/제주특별자치도/2017/export-capabilities-schema-005009.hwpx	제주특별자치도	2017	hwpx	17	17		
u_export_capabilities_schema-005010	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/법제처/2018/export-capabilities-schema-005010.hwp	법제처	2018	hwp	18	19		
u_export_capabilities_schema-005011	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/행정안전부/2018/export-capabilities-schema-005011.hwpx	행정안전부	2018	hwpx	19	18		
u_export_capabilities_schema-005012	export-capabilities-schema	count_eq	COUNT_OK	samples/국세청/2018/export-capabilities-schema-005012.hwp	국세청	2018	hwp	20	20		
u_export_capabilities_schema-005013	export-capabilities-schema	count_eq	COUNT_OK	samples/대법원/2018/export-capabilities-schema-005013.hwpx	대법원	2018	hwpx	21	21		
u_export_capabilities_schema-005014	export-capabilities-schema	count_eq	COUNT_OK	samples/특허청/2018/export-capabilities-schema-005014.hwp	특허청	2018	hwp	22	22		
u_export_capabilities_schema-005015	export-capabilities-schema	count_eq	COUNT_OK	samples/교육부/2018/export-capabilities-schema-005015.hwpx	교육부	2018	hwpx	23	23		
u_export_capabilities_schema-005016	export-capabilities-schema	count_eq	COUNT_OK	samples/보건복지부/2018/export-capabilities-schema-005016.hwp	보건복지부	2018	hwp	0	0		
u_export_capabilities_schema-005017	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/국토교통부/2018/export-capabilities-schema-005017.hwpx	국토교통부	2018	hwpx	1	2		
u_export_capabilities_schema-005018	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/고용노동부/2018/export-capabilities-schema-005018.hwp	고용노동부	2018	hwp	2	1		
u_export_capabilities_schema-005019	export-capabilities-schema	count_eq	COUNT_OK	samples/외교부/2018/export-capabilities-schema-005019.hwpx	외교부	2018	hwpx	3	3		
u_export_capabilities_schema-005020	export-capabilities-schema	count_eq	COUNT_OK	samples/기획재정부/2018/export-capabilities-schema-005020.hwp	기획재정부	2018	hwp	4	4		
u_export_capabilities_schema-005021	export-capabilities-schema	count_eq	COUNT_OK	samples/공정거래위원회/2018/export-capabilities-schema-005021.hwpx	공정거래위원회	2018	hwpx	5	5		
u_export_capabilities_schema-005022	export-capabilities-schema	count_eq	COUNT_OK	samples/금융위원회/2018/export-capabilities-schema-005022.hwp	금융위원회	2018	hwp	6	6		
u_export_capabilities_schema-005023	export-capabilities-schema	count_eq	COUNT_OK	samples/통계청/2018/export-capabilities-schema-005023.hwpx	통계청	2018	hwpx	7	7		
u_export_capabilities_schema-005024	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/기상청/2018/export-capabilities-schema-005024.hwp	기상청	2018	hwp	8	9		
u_export_capabilities_schema-005025	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/관세청/2018/export-capabilities-schema-005025.hwpx	관세청	2018	hwpx	9	8		
u_export_capabilities_schema-005026	export-capabilities-schema	count_eq	COUNT_OK	samples/검찰청/2018/export-capabilities-schema-005026.hwp	검찰청	2018	hwp	10	10		
u_export_capabilities_schema-005027	export-capabilities-schema	count_eq	COUNT_OK	samples/경찰청/2018/export-capabilities-schema-005027.hwpx	경찰청	2018	hwpx	11	11		
u_export_capabilities_schema-005028	export-capabilities-schema	count_eq	COUNT_OK	samples/소방청/2018/export-capabilities-schema-005028.hwp	소방청	2018	hwp	12	12		
u_export_capabilities_schema-005029	export-capabilities-schema	count_eq	COUNT_OK	samples/병무청/2018/export-capabilities-schema-005029.hwpx	병무청	2018	hwpx	13	13		
u_export_capabilities_schema-005030	export-capabilities-schema	count_eq	COUNT_OK	samples/산림청/2018/export-capabilities-schema-005030.hwp	산림청	2018	hwp	14	14		
u_export_capabilities_schema-005031	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/중소벤처기업부/2018/export-capabilities-schema-005031.hwpx	중소벤처기업부	2018	hwpx	15	16		
u_export_capabilities_schema-005032	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/과학기술정보통신부/2018/export-capabilities-schema-005032.hwp	과학기술정보통신부	2018	hwp	16	15		
u_export_capabilities_schema-005033	export-capabilities-schema	count_eq	COUNT_OK	samples/문화체육관광부/2018/export-capabilities-schema-005033.hwpx	문화체육관광부	2018	hwpx	17	17		
u_export_capabilities_schema-005034	export-capabilities-schema	count_eq	COUNT_OK	samples/환경부/2018/export-capabilities-schema-005034.hwp	환경부	2018	hwp	18	18		
u_export_capabilities_schema-005035	export-capabilities-schema	count_eq	COUNT_OK	samples/해양수산부/2018/export-capabilities-schema-005035.hwpx	해양수산부	2018	hwpx	19	19		
u_export_capabilities_schema-005036	export-capabilities-schema	count_eq	COUNT_OK	samples/서울특별시/2018/export-capabilities-schema-005036.hwp	서울특별시	2018	hwp	20	20		
u_export_capabilities_schema-005037	export-capabilities-schema	count_eq	COUNT_OK	samples/경기도/2018/export-capabilities-schema-005037.hwpx	경기도	2018	hwpx	21	21		
u_export_capabilities_schema-005038	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/부산광역시/2018/export-capabilities-schema-005038.hwp	부산광역시	2018	hwp	22	23		
u_export_capabilities_schema-005039	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/제주특별자치도/2018/export-capabilities-schema-005039.hwpx	제주특별자치도	2018	hwpx	23	22		
u_export_capabilities_schema-005040	export-capabilities-schema	count_eq	COUNT_OK	samples/법제처/2019/export-capabilities-schema-005040.hwp	법제처	2019	hwp	0	0		
u_export_capabilities_schema-005041	export-capabilities-schema	count_eq	COUNT_OK	samples/행정안전부/2019/export-capabilities-schema-005041.hwpx	행정안전부	2019	hwpx	1	1		
u_export_capabilities_schema-005042	export-capabilities-schema	count_eq	COUNT_OK	samples/국세청/2019/export-capabilities-schema-005042.hwp	국세청	2019	hwp	2	2		
u_export_capabilities_schema-005043	export-capabilities-schema	count_eq	COUNT_OK	samples/대법원/2019/export-capabilities-schema-005043.hwpx	대법원	2019	hwpx	3	3		
u_export_capabilities_schema-005044	export-capabilities-schema	count_eq	COUNT_OK	samples/특허청/2019/export-capabilities-schema-005044.hwp	특허청	2019	hwp	4	4		
u_export_capabilities_schema-005045	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/교육부/2019/export-capabilities-schema-005045.hwpx	교육부	2019	hwpx	5	6		
u_export_capabilities_schema-005046	export-capabilities-schema	count_eq	COUNT_DRIFT	samples/보건복지부/2019/export-capabilities-schema-005046.hwp	보건복지부	2019	hwp	6	5		
