case_id	command	family	verdict	sample	agency	year	fmt	f0	f1	f2	f3
w2_info_char_count-015000	info-char-count	count_eq	USAGE	samples/wave2/법제처/2021/info-char-count-015000.hwp	법제처	2021	hwp	0	-1		
w2_info_char_count-015001	info-char-count	count_eq	COUNT_OK	samples/wave2/행정안전부/2021/info-char-count-015001.hwpx	행정안전부	2021	hwpx	1	1		
w2_info_char_count-015002	info-char-count	count_eq	COUNT_OK	samples/wave2/국세청/2021/info-char-count-015002.hwp	국세청	2021	hwp	2	2		
w2_info_char_count-015003	info-char-count	count_eq	COUNT_OK	samples/wave2/대법원/2021/info-char-count-015003.hwpx	대법원	2021	hwpx	3	3		
w2_info_char_count-015004	info-char-count	count_eq	COUNT_OK	samples/wave2/특허청/2021/info-char-count-015004.hwp	특허청	2021	hwp	4	4		
w2_info_char_count-015005	info-char-count	count_eq	COUNT_OK	samples/wave2/교육부/2021/info-char-count-015005.hwpx	교육부	2021	hwpx	5	5		
w2_info_char_count-015006	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/보건복지부/2021/info-char-count-015006.hwp	보건복지부	2021	hwp	6	7		
w2_info_char_count-015007	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/국토교통부/2021/info-char-count-015007.hwpx	국토교통부	2021	hwpx	7	6		
w2_info_char_count-015008	info-char-count	count_eq	COUNT_OK	samples/wave2/고용노동부/2021/info-char-count-015008.hwp	고용노동부	2021	hwp	8	8		
w2_info_char_count-015009	info-char-count	count_eq	COUNT_OK	samples/wave2/외교부/2021/info-char-count-015009.hwpx	외교부	2021	hwpx	9	9		
w2_info_char_count-015010	info-char-count	count_eq	COUNT_OK	samples/wave2/기획재정부/2021/info-char-count-015010.hwp	기획재정부	2021	hwp	10	10		
w2_info_char_count-015011	info-char-count	count_eq	COUNT_OK	samples/wave2/공정거래위원회/2021/info-char-count-015011.hwpx	공정거래위원회	2021	hwpx	11	11		
w2_info_char_count-015012	info-char-count	count_eq	COUNT_OK	samples/wave2/금융위원회/2021/info-char-count-015012.hwp	금융위원회	2021	hwp	12	12		
w2_info_char_count-015013	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/통계청/2021/info-char-count-015013.hwpx	통계청	2021	hwpx	13	14		
w2_info_char_count-015014	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/기상청/2021/info-char-count-015014.hwp	기상청	2021	hwp	14	13		
w2_info_char_count-015015	info-char-count	count_eq	COUNT_OK	samples/wave2/관세청/2021/info-char-count-015015.hwpx	관세청	2021	hwpx	15	15		
w2_info_char_count-015016	info-char-count	count_eq	COUNT_OK	samples/wave2/검찰청/2021/info-char-count-015016.hwp	검찰청	2021	hwp	16	16		
w2_info_char_count-015017	info-char-count	count_eq	COUNT_OK	samples/wave2/경찰청/2021/info-char-count-015017.hwpx	경찰청	2021	hwpx	17	17		
w2_info_char_count-015018	info-char-count	count_eq	COUNT_OK	samples/wave2/소방청/2021/info-char-count-015018.hwp	소방청	2021	hwp	18	18		
w2_info_char_count-015019	info-char-count	count_eq	COUNT_OK	samples/wave2/병무청/2021/info-char-count-015019.hwpx	병무청	2021	hwpx	19	19		
w2_info_char_count-015020	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/산림청/2021/info-char-count-015020.hwp	산림청	2021	hwp	20	21		
w2_info_char_count-015021	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/중소벤처기업부/2021/info-char-count-015021.hwpx	중소벤처기업부	2021	hwpx	21	20		
w2_info_char_count-015022	info-char-count	count_eq	COUNT_OK	samples/wave2/과학기술정보통신부/2021/info-char-count-015022.hwp	과학기술정보통신부	2021	hwp	22	22		
w2_info_char_count-015023	info-char-count	count_eq	COUNT_OK	samples/wave2/문화체육관광부/2021/info-char-count-015023.hwpx	문화체육관광부	2021	hwpx	23	23		
w2_info_char_count-015024	info-char-count	count_eq	COUNT_OK	samples/wave2/환경부/2021/info-char-count-015024.hwp	환경부	2021	hwp	0	0		
w2_info_char_count-015025	info-char-count	count_eq	COUNT_OK	samples/wave2/해양수산부/2021/info-char-count-015025.hwpx	해양수산부	2021	hwpx	1	1		
w2_info_char_count-015026	info-char-count	count_eq	COUNT_OK	samples/wave2/서울특별시/2021/info-char-count-015026.hwp	서울특별시	2021	hwp	2	2		
w2_info_char_count-015027	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/경기도/2021/info-char-count-015027.hwpx	경기도	2021	hwpx	3	4		
w2_info_char_count-015028	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/부산광역시/2021/info-char-count-015028.hwp	부산광역시	2021	hwp	4	3		
w2_info_char_count-015029	info-char-count	count_eq	COUNT_OK	samples/wave2/제주특별자치도/2021/info-char-count-015029.hwpx	제주특별자치도	2021	hwpx	5	5		
w2_info_char_count-015030	info-char-count	count_eq	COUNT_OK	samples/wave2/법제처/2022/info-char-count-015030.hwp	법제처	2022	hwp	6	6		
w2_info_char_count-015031	info-char-count	count_eq	COUNT_OK	samples/wave2/행정안전부/2022/info-char-count-015031.hwpx	행정안전부	2022	hwpx	7	7		
w2_info_char_count-015032	info-char-count	count_eq	COUNT_OK	samples/wave2/국세청/2022/info-char-count-015032.hwp	국세청	2022	hwp	8	8		
w2_info_char_count-015033	info-char-count	count_eq	COUNT_OK	samples/wave2/대법원/2022/info-char-count-015033.hwpx	대법원	2022	hwpx	9	9		
w2_info_char_count-015034	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/특허청/2022/info-char-count-015034.hwp	특허청	2022	hwp	10	11		
w2_info_char_count-015035	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/교육부/2022/info-char-count-015035.hwpx	교육부	2022	hwpx	11	10		
w2_info_char_count-015036	info-char-count	count_eq	COUNT_OK	samples/wave2/보건복지부/2022/info-char-count-015036.hwp	보건복지부	2022	hwp	12	12		
w2_info_char_count-015037	info-char-count	count_eq	COUNT_OK	samples/wave2/국토교통부/2022/info-char-count-015037.hwpx	국토교통부	2022	hwpx	13	13		
w2_info_char_count-015038	info-char-count	count_eq	COUNT_OK	samples/wave2/고용노동부/2022/info-char-count-015038.hwp	고용노동부	2022	hwp	14	14		
w2_info_char_count-015039	info-char-count	count_eq	COUNT_OK	samples/wave2/외교부/2022/info-char-count-015039.hwpx	외교부	2022	hwpx	15	15		
w2_info_char_count-015040	info-char-count	count_eq	COUNT_OK	samples/wave2/기획재정부/2022/info-char-count-015040.hwp	기획재정부	2022	hwp	16	16		
w2_info_char_count-015041	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/공정거래위원회/2022/info-char-count-015041.hwpx	공정거래위원회	2022	hwpx	17	18		
w2_info_char_count-015042	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/금융위원회/2022/info-char-count-015042.hwp	금융위원회	2022	hwp	18	17		
w2_info_char_count-015043	info-char-count	count_eq	COUNT_OK	samples/wave2/통계청/2022/info-char-count-015043.hwpx	통계청	2022	hwpx	19	19		
w2_info_char_count-015044	info-char-count	count_eq	COUNT_OK	samples/wave2/기상청/2022/info-char-count-015044.hwp	기상청	2022	hwp	20	20		
w2_info_char_count-015045	info-char-count	count_eq	COUNT_OK	samples/wave2/관세청/2022/info-char-count-015045.hwpx	관세청	2022	hwpx	21	21		
w2_info_char_count-015046	info-char-count	count_eq	COUNT_OK	samples/wave2/검찰청/2022/info-char-count-015046.hwp	검찰청	2022	hwp	22	22		
w2_info_char_count-015047	info-char-count	count_eq	COUNT_OK	samples/wave2/경찰청/2022/info-char-count-015047.hwpx	경찰청	2022	hwpx	23	23		
w2_info_char_count-015048	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/소방청/2022/info-char-count-015048.hwp	소방청	2022	hwp	0	1		
w2_info_char_count-015049	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/병무청/2022/info-char-count-015049.hwpx	병무청	2022	hwpx	1	0		
w2_info_char_count-015050	info-char-count	count_eq	COUNT_OK	samples/wave2/산림청/2022/info-char-count-015050.hwp	산림청	2022	hwp	2	2		
w2_info_char_count-015051	info-char-count	count_eq	COUNT_OK	samples/wave2/중소벤처기업부/2022/info-char-count-015051.hwpx	중소벤처기업부	2022	hwpx	3	3		
w2_info_char_count-015052	info-char-count	count_eq	COUNT_OK	samples/wave2/과학기술정보통신부/2022/info-char-count-015052.hwp	과학기술정보통신부	2022	hwp	4	4		
w2_info_char_count-015053	info-char-count	count_eq	COUNT_OK	samples/wave2/문화체육관광부/2022/info-char-count-015053.hwpx	문화체육관광부	2022	hwpx	5	5		
w2_info_char_count-015054	info-char-count	count_eq	COUNT_OK	samples/wave2/환경부/2022/info-char-count-015054.hwp	환경부	2022	hwp	6	6		
w2_info_char_count-015055	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/해양수산부/2022/info-char-count-015055.hwpx	해양수산부	2022	hwpx	7	8		
w2_info_char_count-015056	info-char-count	count_eq	COUNT_DRIFT	samples/wave2/서울특별시/2022/info-char-count-015056.hwp	서울특별시	2022	hwp	8	7		
w2_info_char_count-015057	info-char-count	count_eq	COUNT_OK	samples/wave2/경기도/2022/info-char-count-015057.hwpx	경기도	2022	hwpx	9	9		
w2_info_char_count-015058	info-char-count	count_eq	COUNT_OK	samples/wave2/부산광역시/2022/info-char-count-015058.hwp	부산광역시	2022	hwp	10	10		
w2_info_char_count-015059	info-char-count	count_eq	COUNT_OK	samples/wave2/제주특별자치도/2022/info-char-count-015059.hwpx	제주특별자치도	2022	hwpx	11	11		
w2_info_char_count-015060	info-char-count	count_eq	COUNT_OK	samples/wave2/법제처/2023/info-char-count-015060.hwp	법제처	2023	hwp	12	12		
